question_mapping
Question,Question_Text,Option,Option_Text
Q1,How frequently do you use instant messaging tools for group chat?,0,Daily
Q1,How frequently do you use instant messaging tools for group chat?,1,4-6 times a week
Q1,How frequently do you use instant messaging tools for group chat?,2,2-3 times a week
Q1,How frequently do you use instant messaging tools for group chat?,3,Once a week
Q1,How frequently do you use instant messaging tools for group chat?,4,Rarely
Q1,How frequently do you use instant messaging tools for group chat?,5,Never
Q2,Please mark which of the following tools you have used,0,Blackberry Messenger
Q2,Please mark which of the following tools you have used,1,Discord
Q2,Please mark which of the following tools you have used,2,Facebook Messenger
Q2,Please mark which of the following tools you have used,3,iMessage
Q2,Please mark which of the following tools you have used,4,IMO
Q2,Please mark which of the following tools you have used,5,Instagram Direct
Q2,Please mark which of the following tools you have used,6,Kakaotalk
Q2,Please mark which of the following tools you have used,7,Kik
Q2,Please mark which of the following tools you have used,8,Line
Q2,Please mark which of the following tools you have used,9,Marco Polo
Q2,Please mark which of the following tools you have used,10,Signal
Q2,Please mark which of the following tools you have used,11,Skype
Q2,Please mark which of the following tools you have used,12,Slack
Q2,Please mark which of the following tools you have used,13,Snapchat
Q2,Please mark which of the following tools you have used,14,Telegram
Q2,Please mark which of the following tools you have used,15,Viber
Q2,Please mark which of the following tools you have used,16,WeChat
Q2,Please mark which of the following tools you have used,17,WhatsApp
Q2,Please mark which of the following tools you have used,18,Google Hangouts
Q3,For what purposes do you use instant messaging tools for group communication?,0,Work or school-related activity
Q3,For what purposes do you use instant messaging tools for group communication?,1,Chatting
Q3,For what purposes do you use instant messaging tools for group communication?,2,Coordinating events
Q3,For what purposes do you use instant messaging tools for group communication?,3,Social
Q3,For what purposes do you use instant messaging tools for group communication?,4,Fun
Q4,What do you like about using instant messaging tools for group communication?,0,Usability
Q4,What do you like about using instant messaging tools for group communication?,1,Fast
Q4,What do you like about using instant messaging tools for group communication?,2,Group communication
Q4,What do you like about using instant messaging tools for group communication?,3,Staying connected
Q4,What do you like about using instant messaging tools for group communication?,4,No answer
Q4,What do you like about using instant messaging tools for group communication?,5,Tool itself
Q4,What do you like about using instant messaging tools for group communication?,6,Free of Cost
Q4,What do you like about using instant messaging tools for group communication?,7,Tool features
Q5,What do you dislike about using instant messaging tools for group communication?,0,No Dislikes 
Q5,What do you dislike about using instant messaging tools for group communication?,1,Too many messages to keep up with
Q5,What do you dislike about using instant messaging tools for group communication?,2,Compatibility issues
Q5,What do you dislike about using instant messaging tools for group communication?,3,Usability issues
Q5,What do you dislike about using instant messaging tools for group communication?,4,Unreal
Q5,What do you dislike about using instant messaging tools for group communication?,5,Limited Usefulness
Q5,What do you dislike about using instant messaging tools for group communication?,6,Difficult
Q5,What do you dislike about using instant messaging tools for group communication?,7,Conflict
Q5,What do you dislike about using instant messaging tools for group communication?,8,Pressure to stay online
Q5,What do you dislike about using instant messaging tools for group communication?,9,Unsuitable for group communication
Q7,How do you choose which instant messaging tools to use for group communication?,0,Usability
Q7,How do you choose which instant messaging tools to use for group communication?,1,Personal preference
Q7,How do you choose which instant messaging tools to use for group communication?,2,What others use
Q7,How do you choose which instant messaging tools to use for group communication?,3,Platform familiarity
Q7,How do you choose which instant messaging tools to use for group communication?,4,Group-lead decision
Q7,How do you choose which instant messaging tools to use for group communication?,5,Compatibility
Q7,How do you choose which instant messaging tools to use for group communication?,6,Context-specific
Q7,How do you choose which instant messaging tools to use for group communication?,7,Content based
Q7,How do you choose which instant messaging tools to use for group communication?,8,Based on features
Q7,How do you choose which instant messaging tools to use for group communication?,9,Efficient
Q7,How do you choose which instant messaging tools to use for group communication?,10,Urgency
Q8,When using instant messaging tools for group communication who do you talk to?,0,Immediate/nuclear family members
Q8,When using instant messaging tools for group communication who do you talk to?,1,Extended family members
Q8,When using instant messaging tools for group communication who do you talk to?,2,Friends
Q8,When using instant messaging tools for group communication who do you talk to?,3,Work colleagues
Q8,When using instant messaging tools for group communication who do you talk to?,4,Other
Q8,When using instant messaging tools for group communication who do you talk to?,5,I prefer not to answer
Q9,how large are your instant messaging groups?,0,3-5 people
Q9,how large are your instant messaging groups?,1,6-10 people
Q9,how large are your instant messaging groups?,2,11-20 people
Q9,how large are your instant messaging groups?,3,20+ people
Q9,how large are your instant messaging groups?,4,My groups vary largely in size.
Q9,how large are your instant messaging groups?,5,Unsure
Q9,how large are your instant messaging groups?,6, I prefer not to answer
Q10,Why do your instant messaging groups vary largely in size?,0,No answer
Q10,Why do your instant messaging groups vary largely in size?,1,Purpose of the group
Q10,Why do your instant messaging groups vary largely in size?,2,Scalability
Q10,Why do your instant messaging groups vary largely in size?,3,Diversity
Q11,Have you ever been removed from an instant messaging group without your permission?,0,Yes
Q11,Have you ever been removed from an instant messaging group without your permission?,1,No
Q11,Have you ever been removed from an instant messaging group without your permission?,2,Unsure
Q11,Have you ever been removed from an instant messaging group without your permission?,3,I prefer not to answer
Q12,please share why you were removed from an instant messaging group without your permission,0,No answer
Q12,please share why you were removed from an instant messaging group without your permission,1,Conflict
Q12,please share why you were removed from an instant messaging group without your permission,2,Change in group relevance
Q12,please share why you were removed from an instant messaging group without your permission,3,Purpose fulfilled
Q12,please share why you were removed from an instant messaging group without your permission,4,Unwilling
Q12,please share why you were removed from an instant messaging group without your permission,5,Political
Q12,please share why you were removed from an instant messaging group without your permission,6,For fun
Q12,please share why you were removed from an instant messaging group without your permission,7,Inactivity
Q13,How did you feel after having been removed from an instant messaging group without your permission?,0,No answer
Q13,How did you feel after having been removed from an instant messaging group without your permission?,1,Acceptance
Q13,How did you feel after having been removed from an instant messaging group without your permission?,2,Indifference
Q13,How did you feel after having been removed from an instant messaging group without your permission?,3,Privacy concerns
Q13,How did you feel after having been removed from an instant messaging group without your permission?,4,Partial acceptance
Q13,How did you feel after having been removed from an instant messaging group without your permission?,5,Annoyance
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,0,It depends
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,1,No
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,2,Unsure
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,3,I prefer not to answer
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,4,Yes
Q15,Why do you want other people to ask the group for permission before inviting others to join?,0,Privacy concerns
Q15,Why do you want other people to ask the group for permission before inviting others to join?,1,No answer
Q15,Why do you want other people to ask the group for permission before inviting others to join?,2,Group harmony
Q15,Why do you want other people to ask the group for permission before inviting others to join?,3,Group purpose
Q15,Why do you want other people to ask the group for permission before inviting others to join?,4,Conflict avoidance
Q15,Why do you want other people to ask the group for permission before inviting others to join?,5,Group cohesion
Q15,Why do you want other people to ask the group for permission before inviting others to join?,6,Group comfort
Q15,Why do you want other people to ask the group for permission before inviting others to join?,7,Right to be informed
Q15,Why do you want other people to ask the group for permission before inviting others to join?,8,Security/Privacy concerns
